"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Get exercise","LMS service","Sun Nov 23 13:25:01 UTC 2025","passed","Sun Nov 23 13:25:01 UTC 2025","Get entities","Exercises","",""
"","543","Create user","LMS service","Sun Nov 23 13:25:04 UTC 2025","passed","Sun Nov 23 13:25:05 UTC 2025","Create entity","Users","",""
"","265","Create file with empty directory","LMS service","Sun Nov 23 13:25:04 UTC 2025","passed","Sun Nov 23 13:25:04 UTC 2025","Validate entity","Files","",""
"","300","Update course","LMS service","Sun Nov 23 13:24:57 UTC 2025","passed","Sun Nov 23 13:24:58 UTC 2025","Update entity","Courses","",""
"","22","Delete file","LMS service","Sun Nov 23 13:25:03 UTC 2025","passed","Sun Nov 23 13:25:03 UTC 2025","Delete entity","Files","",""
"","283","Create file with empty filename","LMS service","Sun Nov 23 13:25:03 UTC 2025","passed","Sun Nov 23 13:25:03 UTC 2025","Validate entity","Files","",""
"","294","Create user","LMS service","Sun Nov 23 13:25:05 UTC 2025","passed","Sun Nov 23 13:25:05 UTC 2025","Create entity","Users","",""
"","15","Get exercise","LMS service","Sun Nov 23 13:25:00 UTC 2025","passed","Sun Nov 23 13:25:00 UTC 2025","Get entity","Exercises","",""
"","562","Create user","LMS service","Sun Nov 23 13:25:05 UTC 2025","passed","Sun Nov 23 13:25:05 UTC 2025","Create entity","Users","",""
"","290","Update exercise","LMS service","Sun Nov 23 13:24:59 UTC 2025","passed","Sun Nov 23 13:25:00 UTC 2025","Update entity","Exercises","",""
"","27","Create course","LMS service","Sun Nov 23 13:24:58 UTC 2025","passed","Sun Nov 23 13:24:58 UTC 2025","Create entity","Courses","",""
"","13","Get file","LMS service","Sun Nov 23 13:25:02 UTC 2025","passed","Sun Nov 23 13:25:02 UTC 2025","Get entity","Files","",""
"","15","Get user me","LMS service","Sun Nov 23 13:25:06 UTC 2025","passed","Sun Nov 23 13:25:06 UTC 2025","Get entity","Users","",""
"","21","Create exercise","LMS service","Sun Nov 23 13:24:59 UTC 2025","passed","Sun Nov 23 13:24:59 UTC 2025","Create entity","Exercises","",""
"","299","Get course","LMS service","Sun Nov 23 13:24:57 UTC 2025","passed","Sun Nov 23 13:24:57 UTC 2025","Get entities","Courses","",""
"","288","Login","LMS service","Sun Nov 23 13:24:56 UTC 2025","passed","Sun Nov 23 13:24:56 UTC 2025","Login","Authentication","",""
"","266","Create file with incorrect file id","LMS service","Sun Nov 23 13:25:04 UTC 2025","passed","Sun Nov 23 13:25:05 UTC 2025","Validate entity","Files","",""
"","266","Create file","LMS service","Sun Nov 23 13:25:01 UTC 2025","passed","Sun Nov 23 13:25:02 UTC 2025","Create entity","Files","",""
"","286","Delete exercise","LMS service","Sun Nov 23 13:25:00 UTC 2025","passed","Sun Nov 23 13:25:01 UTC 2025","Delete entity","Exercises","",""
